CFT,MAGic Term,Default,,,,,,,,,,,,,,,,
,options.SpeakCharacterValueInHex,0,,,,,,,,,,,,,,,,
,options.SpeakCharacterValueAsMultibyteSequence,0,,,,,,,,,,,,,,,,
,options.SkimReadingIndication,1,,,,,,,,,,,,,,,,
,options.SkimReadingIndicationSound,penClickUp,,,,,,,,,,,,,,,,
,options.IndicateNewlinesAndParagraphs,0,,,,,,,,,,,,,,,,
,options.ProgressBarUpdateInterval,5000,,,,,,,,,,,,,,,,
,options.TreeViewCheckBoxes,1,,,,,,,,,,,,,,,,
,options.ListBoxCheckBoxes,0,,,,,,,,,,,,,,,,
,options.CustomPageSummary,0,,,,,,,,,,,,,,,,
,options.LanguageProcessor,,,,,,,,,,,,,,,,,
,options.Scheme,Speech Only,,,,,,,,,,,,,,,,
,options.LanguageDetection,1,,,,,,,,,,,,,,,,
,options.GeneralizeDialect,1,,,,,,,,,,,,,,,,
,options.UseVirtualInfoInFormsMode,0,,,,,,,,,,,,,,,,
,options.QuickKeyNavigationMode,0,,,,,,,,,,,,,,,,
,options.SpellPhonetic,0,,,,,,,,,,,,,,,,
,options.IndicateCaps,1,,,,,,,,,,,,,,,,
,options.IndicateCapsBy,1,,,,,,,,,,,,,,,,
,options.SayAllIndicateCaps,0,,,,,,,,,,,,,,,,
,options.ProcessToolTipEvent,1,,,,,,,,,,,,,,,,
,options.VIRTUALMSAAREFRESH,0,,,,,,,,,,,,,,,,
,options.TetherJAWSToPC,0,,,,,,,,,,,,,,,,
,options.SayAllMode,0,,,,,,,,,,,,,,,,
,options.IndicateAttributesInDialogsAndMenus,0,,,,,,,,,,,,,,,,
,options.Repetitions,0,,,,,,,,,,,,,,,,
,options.Indentation,0,,,,,,,,,,,,,,,,
,options.TypingEcho,1,,,,,,,,,,,,,,,,
,options.TypingInterrupt,1,,,,,,,,,,,,,,,,
,options.KeyRepeat,1,,,,,,,,,,,,,,,,
,options.SayAllIgnoreShiftKeys,0,,,,,,,,,,,,,,,,
,options.LeftShiftSkipBack,1,,,,,,,,,,,,,,,,
,options.ScreenEcho,1,,,,,,,,,,,,,,,,
,options.ReadingInterrupt,1,,,,,,,,,,,,,,,,
